¿Cuál es tu mayor preocupación al terminar tus estudios?,¿Qué factores influyen más en tu decisión sobre qué camino seguir después de egresar?,¿Cuál es tu situación actual respecto a la elección de un camino profesional después de egresar?,¿Qué tipo de apoyo crees que te ayudaría más en esta etapa de decisión?,¿Qué habilidades o conocimientos crees que son esenciales para tomar una decisión sobre tu especialización o carrera profesional después de egresar?,¿En qué medida consideras que las prácticas profesionales o proyectos extracurriculares influirán en tu decisión de que camino seguir?,¿Cómo visualizas tu carrera profesional dentro de 5 años? ¿Qué tipo de trabajo o proyectos te gustaría estar realizando?,¿Qué es lo que más valoras en un posible empleo o área de especialización después de terminar tu carrera?,¿Qué tan útil consideras el material de estudio de la carrera para conseguir trabajo?,¿Sientes que tu carrera universitaria te permitió desarrollar una red de contactos profesionales que te ha ayudado en tu camino laboral?,¿Qué aspectos de tu formación académica crees que podrían mejorarse para preparar mejor a los futuros egresados?,¿Consideras que el contenido de tu carrera estuvo actualizado con las necesidades actuales del mercado laboral?
36.84210526315789,,,,,,,,,,,
31.57894736842105,10.526315789473683,5.263157894736842,5.263157894736842,5.263157894736842,,,,,,,
10.526315789473683,,,,,,,,,,,
10.526315789473683,,,,,,,,,,,
10.526315789473683,,,,,,,,,,,
,68.42105263157895,,15.789473684210526,,,,,,,,
,15.789473684210526,,,,,,,,,,
,5.263157894736842,,,,,,,,,,
,,52.63157894736842,,,,,,,,,
,,31.57894736842105,,,,,,,,,
,,10.526315789473683,,,,,,,,,
,,,52.63157894736842,15.789473684210526,100.0,52.63157894736842,73.68421052631578,89.47368421052632,,94.73684210526315,21.052631578947366
,,,21.052631578947366,,,,,,,,
,,,5.263157894736842,,,,,,,,
,,,,21.052631578947366,,,,,,,
,,,,21.052631578947366,,,,,,,
,,,,15.789473684210526,,,,,,,
,,,,15.789473684210526,,,,,,,
,,,,5.263157894736842,,,,,,,
,,,,,,26.31578947368421,,,,,
,,,,,,10.526315789473683,,,,,
,,,,,,10.526315789473683,,,,,
,,,,,,,21.052631578947366,,,,
,,,,,,,5.263157894736842,,,,
,,,,,,,,10.526315789473683,,,
,,,,,,,,,52.63157894736842,,47.368421052631575
,,,,,,,,,47.368421052631575,,31.57894736842105
,,,,,,,,,,5.263157894736842,
